date,State,District,temperature,humidity,rainfall
13-07-2025,Chhattisgarh,Korba,26.79,76.67,26.48
13-07-2025,Chhattisgarh,Koriya,25.8,83.25,53.23
13-07-2025,Chhattisgarh,Mahasamund,28.69,73,36.77
13-07-2025,Chhattisgarh,Raigarh,22.08,84,66.71
13-07-2025,Chhattisgarh,Raipur,29.6,66.95,18.46
13-07-2025,Gujarat,Amreli,28.55,75.67,7.33
13-07-2025,Gujarat,Surendranagar,31.09,60.48,3.82
13-07-2025,Gujarat,The Dangs,24.73,79.95,3.45
13-07-2025,Gujarat,Vadodara,28.29,74.83,68.13
13-07-2025,Andhra Pradesh,Adilabad,29.57,62.65,3.06
13-07-2025,Andhra Pradesh,Anantapur,28.74,56.4,15.68
13-07-2025,Andhra Pradesh,Chittoor,28.5,56.05,15.32
13-07-2025,Andhra Pradesh,Cuddapah,30.79,52.58,18.27
13-07-2025,Andhra Pradesh,Hyderabad,28.84,54.42,9.13
13-07-2025,Andhra Pradesh,Karimnagar,30.6,58,6.18
13-07-2025,Andhra Pradesh,Khammam,28.61,69.25,6.31
13-07-2025,Andhra Pradesh,Kurnool,29.58,57.15,17.43
13-07-2025,Andhra Pradesh,Mahbubnagar,28.06,58.1,4.56
13-07-2025,Gujarat,Porbandar,28.37,78.75,4.21
13-07-2025,Gujarat,Bharuch,28.31,79.67,33.49
13-07-2025,Gujarat,Bhavnagar,29.53,69.5,6.13
13-07-2025,Gujarat,Surat,28.18,81.03,33.39
13-07-2025,Gujarat,Jamnagar,29.15,76.9,4.05
13-07-2025,Gujarat,Kachchh,28.87,78.92,3.12
13-07-2025,Andhra Pradesh,Medak,29.26,53.98,4.06
13-07-2025,Andhra Pradesh,Nalgonda,28.53,56.33,16.88
13-07-2025,Andhra Pradesh,Nizamabad,29.79,56.3,2.19
13-07-2025,Andhra Pradesh,Rangareddi,27.92,57.98,12.43
13-07-2025,Gujarat,Junagadh,27.99,81.15,6.42
13-07-2025,Gujarat,Navsari,27.85,78.08,20.05
13-07-2025,Haryana,Ambala,29.42,68.75,16.33
13-07-2025,Haryana,Bhiwani,31.32,61.5,16.35
13-07-2025,Haryana,Faridabad,31.99,57.02,31.44
13-07-2025,Haryana,Fatehabad,31.82,60,11.84
13-07-2025,Haryana,Gurgaon,32.05,55.92,23.82
13-07-2025,Haryana,Yamuna Nagar,29.69,69.12,19.36
13-07-2025,Himachal Pradesh,Chamba,4.55,83.83,19.83
13-07-2025,Himachal Pradesh,Hamirpur,25.76,74.62,52.9
13-07-2025,Himachal Pradesh,Kangra,3.95,85.8,25.93
13-07-2025,Himachal Pradesh,Kinnaur,13.29,72.45,9.16
13-07-2025,Himachal Pradesh,Kullu,8.08,80.83,16.81
13-07-2025,Himachal Pradesh,Lahul and Spiti,3.29,79.67,7.56
13-07-2025,Jammu and Kashmir,Rajauri,14.35,85.72,49.53
13-07-2025,Jammu and Kashmir,Srinagar,6.46,73.78,12.68
13-07-2025,Jammu and Kashmir,Udhampur,11.52,83.2,34.07
13-07-2025,Jharkhand,Bokaro,26.68,80.83,73.09
13-07-2025,Jharkhand,Chatra,27.16,78.92,79.03
13-07-2025,Jharkhand,Deoghar,28.37,77.28,90.89
13-07-2025,Jharkhand,Dhanbad,28.38,78.92,87.57
13-07-2025,Jharkhand,Dumka,28.48,79.1,90.01
13-07-2025,Jharkhand,Garhwa,27.91,79.55,269.84
13-07-2025,Jharkhand,Giridih,28.9,76.35,119.82
13-07-2025,Gujarat,Valsad,27.82,82.03,39.28
13-07-2025,Gujarat,Anand,30.12,67.25,5.5
13-07-2025,Jharkhand,Pashchim Singhbhum,23.83,85.38,37.74
13-07-2025,Jharkhand,Purba Singhbhum,27.01,81.88,106.09
13-07-2025,Jharkhand,Ranchi,26.48,81.25,61.56
13-07-2025,Jharkhand,Sahibganj,29.28,77.3,87.07
13-07-2025,Jharkhand,Saraikela Kharsawan,27.28,80.65,65.67
13-07-2025,Jharkhand,Simdega,26.12,82.83,47.69
13-07-2025,Karnataka,Bagalkot,25.33,67.97,0.88
13-07-2025,Karnataka,Bangalore Rural,24.73,70.35,23.4
13-07-2025,Karnataka,Chamrajnagar,23.57,71.5,16.32
13-07-2025,Karnataka,Chikmagalur,22.97,77.05,3.5
13-07-2025,Karnataka,Chitradurga,26.09,66.97,8.38
13-07-2025,Karnataka,Dakshin Kannad,20.33,94.22,60
13-07-2025,Karnataka,Davanagere,25.04,71.53,6.17
13-07-2025,Karnataka,Dharwad,25.81,68.65,7.52
13-07-2025,Karnataka,Gadag,26.01,67.55,5.78
13-07-2025,Chhattisgarh,Raj Nandgaon,24.84,83.1,35.76
13-07-2025,Chhattisgarh,Surguja,26.81,79.83,194.78
13-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,27.73,76.75,16.1
13-07-2025,Daman and Diu,Daman,27.81,80.28,37.5
13-07-2025,Delhi,Delhi,31.72,58.27,27.88
13-07-2025,Goa,North Goa,26.6,80.6,77.81
13-07-2025,Goa,South Goa,27.09,81.5,95.57
13-07-2025,Gujarat,Ahmadabad,30.93,60.9,4.74
13-07-2025,Gujarat,Banas Kantha,29.82,66.65,9.97
13-07-2025,Gujarat,Dahod,27.43,77.53,71.56
13-07-2025,Gujarat,Gandhinagar,29.84,64.72,24.77
13-07-2025,Gujarat,Kheda,27.56,76.92,97.5
13-07-2025,Gujarat,Mahesana,28.26,72.65,42.71
13-07-2025,Gujarat,Narmada,27.66,77.7,33.98
13-07-2025,Gujarat,Panch Mahals,27.23,77.62,75.07
13-07-2025,Gujarat,Patan,30.07,64.58,8.33
13-07-2025,Gujarat,Rajkot,30.58,68.8,0.76
13-07-2025,Gujarat,Sabar Kantha,27.36,76.38,95.75
13-07-2025,Himachal Pradesh,Mandi,16.1,84.67,39.84
13-07-2025,Himachal Pradesh,Shimla,6.34,92.92,44.45
13-07-2025,Himachal Pradesh,Sirmaur,18.76,87.75,75.12
13-07-2025,Himachal Pradesh,Solan,22.49,79.22,77.27
13-07-2025,Himachal Pradesh,Una,25.95,77.45,50.32
13-07-2025,Jammu and Kashmir,Anantnag (Kashmir South),5.11,73.53,14.39
13-07-2025,Jammu and Kashmir,Bagdam,19.5,68.25,24.46
13-07-2025,Jammu and Kashmir,Baramula (Kashmir North),16.88,76.83,27.66
13-07-2025,Jammu and Kashmir,Doda,5.11,73.53,14.39
13-07-2025,Jammu and Kashmir,Jammu,28.37,68.53,99.97
13-07-2025,Jammu and Kashmir,Kargil,6.88,70.42,10.47
13-07-2025,Jammu and Kashmir,Kathua,24.5,79.65,58.6
13-07-2025,Jammu and Kashmir,Kupwara (Muzaffarabad),19.82,76.9,25.48
13-07-2025,Jammu and Kashmir,Ladakh (Leh),6.51,50.2,1.64
13-07-2025,Jammu and Kashmir,Pulwama,9.08,78.22,17.73
13-07-2025,Jammu and Kashmir,Punch,20.2,80.25,47.73
13-07-2025,Karnataka,Uttar Kannand,26.75,83.1,122.32
13-07-2025,Kerala,Alappuzha,25.73,85.17,113.51
13-07-2025,Kerala,Ernakulam,25.62,86.03,132.17
13-07-2025,Kerala,Idukki,24.04,76.53,17.98
13-07-2025,Kerala,Kannur,25.72,85.35,125.39
13-07-2025,Kerala,Kasaragod,26.06,84.62,145.3
13-07-2025,Kerala,Kollam,24.19,88.65,83.57
13-07-2025,Karnataka,Kolar,24.23,70.8,45.03
13-07-2025,Karnataka,Koppal,26.57,63.3,2.36
13-07-2025,Karnataka,Mandya,23.52,74.3,28.43
13-07-2025,Karnataka,Mysore,23.21,75.88,15.22
13-07-2025,Karnataka,Raichur,29.51,53.95,11.34
13-07-2025,Karnataka,Shimoga,23.58,84.62,12.05
13-07-2025,Karnataka,Tumkur,25.86,65.7,6.38
13-07-2025,Karnataka,Udupi,26.01,84.45,164.48
13-07-2025,Lakshadweep,Kavaratti,27.74,80.83,37.28
13-07-2025,Madhya Pradesh,Anuppur,26.33,76.17,42.65
13-07-2025,Madhya Pradesh,Ashoknagar,26.17,81.33,26
13-07-2025,Madhya Pradesh,Balaghat,24.75,87.12,40.74
13-07-2025,Madhya Pradesh,Barwani,28.75,67.85,13.45
13-07-2025,Madhya Pradesh,Betul,24.93,83.7,23.83
13-07-2025,Madhya Pradesh,Bhind,30.89,64.5,35.23
13-07-2025,Haryana,Hisar,31.55,61.6,14.71
13-07-2025,Haryana,Jhajjar,31.66,58.4,27.12
13-07-2025,Haryana,Jind,31.86,59.9,25.11
13-07-2025,Haryana,Kaithal,31.36,62.15,41.76
13-07-2025,Haryana,Karnal,30,68.05,23.92
13-07-2025,Haryana,Kurukshetra,30.57,65.5,18.06
13-07-2025,Haryana,Mahendragarh,31.28,60.5,18.5
13-07-2025,Haryana,Panchkula,29.32,68.55,24.56
13-07-2025,Haryana,Panipat,31.34,61.45,33.12
13-07-2025,Haryana,Rewari,31.49,59.45,19.05
13-07-2025,Haryana,Rohtak,31.6,59.83,17.27
13-07-2025,Haryana,Sirsa,32.46,56.3,6.71
13-07-2025,Haryana,Sonepat,31.37,61.4,28.04
13-07-2025,Kerala,Kozhikode,25.78,84.7,108.96
13-07-2025,Kerala,Thrissur,25.27,89.15,85.61
13-07-2025,Kerala,Kottayam,25.87,84.38,128.25
13-07-2025,Madhya Pradesh,Sagar,25.9,80.83,22.05
13-07-2025,Madhya Pradesh,Satna,29.06,73.85,120.7
13-07-2025,Madhya Pradesh,Sehore,25.77,81.05,56.1
13-07-2025,Madhya Pradesh,Seoni,26.74,78.25,26
13-07-2025,Madhya Pradesh,Shahdol,26.91,81.05,79.49
13-07-2025,Madhya Pradesh,Shajapur,26.41,80.12,116.99
13-07-2025,Madhya Pradesh,Sheopur,28.96,73.45,64.43
13-07-2025,Madhya Pradesh,Shivpuri,27.71,76.1,44.74
13-07-2025,Karnataka,Gulbarga,28.56,54.52,2.7
13-07-2025,Karnataka,Hassan,24.77,66.6,5.34
13-07-2025,Karnataka,Haveri,23.92,78.97,6.5
13-07-2025,Karnataka,Kodagu,20.56,93.67,19.14
13-07-2025,Kerala,Malappuram,24.26,92.58,60.69
13-07-2025,Kerala,Palakkad,23.3,84.67,43.71
13-07-2025,Kerala,Pattanamtitta,17.68,93.35,195.48
13-07-2025,Kerala,Thiruvananthapuram,25.01,86.03,59.68
13-07-2025,Kerala,Wayanad,20.58,92.03,23.42
13-07-2025,Madhya Pradesh,Morena,30.1,67.7,43.46
13-07-2025,Madhya Pradesh,Narsinghpur,26.1,80.55,9.38
13-07-2025,Madhya Pradesh,Neemuch,25.89,77.67,89.48
13-07-2025,Madhya Pradesh,Panna,29.12,73.38,60.92
13-07-2025,Madhya Pradesh,Raisen,25.42,82.5,20.72
13-07-2025,Madhya Pradesh,Rajgarh,26.63,79,52.46
13-07-2025,Madhya Pradesh,Ratlam,26.05,79.5,82.25
13-07-2025,Madhya Pradesh,Rewa,29.02,72.58,91.07
13-07-2025,Jharkhand,Godda,29.11,76.95,95.02
13-07-2025,Jharkhand,Gumla,25.18,86.58,44.43
13-07-2025,Jharkhand,Hazaribag,27.09,80,163.14
13-07-2025,Jharkhand,Jamtara,28.29,79.28,74.73
13-07-2025,Jharkhand,Koderma,27.99,77.33,130.24
13-07-2025,Jharkhand,Latehar,26.55,83.75,48.02
13-07-2025,Jharkhand,Lohardaga,25.18,86.58,44.43
13-07-2025,Jharkhand,Pakur,28.84,79.33,58.8
13-07-2025,Jharkhand,Palamu,27.91,79.55,269.84
13-07-2025,Maharashtra,Hingoli,29.99,53.1,1.37
13-07-2025,Maharashtra,Jalgaon,28.35,65.33,4.93
13-07-2025,Maharashtra,Jalna,28.44,62,5.34
13-07-2025,Maharashtra,Kolhapur,22.69,88.22,16.87
13-07-2025,Maharashtra,Latur,29.21,54.02,3.38
13-07-2025,Maharashtra,Nagpur,25.98,81.22,39.98
13-07-2025,Maharashtra,Nanded,29.34,61.98,2.34
13-07-2025,Maharashtra,Nandurbar,26.86,73.9,13.46
13-07-2025,Karnataka,Bangalore Urban,23.65,74.85,46.97
13-07-2025,Karnataka,Belgaum,24.79,70.45,0.96
13-07-2025,Karnataka,Bellary,29.4,54.23,6.83
13-07-2025,Karnataka,Bidar,29.65,53.73,3.37
13-07-2025,Karnataka,Bijapur,28.73,56.45,2.65
13-07-2025,Madhya Pradesh,East Nimar,29.16,63,3.4
13-07-2025,Madhya Pradesh,Guna,27.08,80.12,41.63
13-07-2025,Madhya Pradesh,Gwalior,29.89,68.8,51.66
13-07-2025,Madhya Pradesh,Harda,27.47,74.9,26.51
13-07-2025,Madhya Pradesh,Hoshangabad,26.92,77.9,12.82
13-07-2025,Madhya Pradesh,Indore,25.75,76.92,36.36
13-07-2025,Madhya Pradesh,Jabalpur,25.32,80.62,22.04
13-07-2025,Madhya Pradesh,Jhabua,26.17,80.7,65.91
13-07-2025,Madhya Pradesh,Katni,26.56,79.62,38.31
13-07-2025,Madhya Pradesh,Sidhi,26.25,82.72,55.56
13-07-2025,Madhya Pradesh,Tikamgarh,28.6,74.42,52.26
13-07-2025,Madhya Pradesh,Ujjain,25.96,79.33,80.86
13-07-2025,Madhya Pradesh,Umaria,26.5,80.58,44.88
13-07-2025,Madhya Pradesh,Vidisha,24.97,84.03,24.78
13-07-2025,Madhya Pradesh,West Nimar,26.92,74.1,24.98
13-07-2025,Madhya Pradesh,Mandla,25.14,81.78,26.68
13-07-2025,Maharashtra,Ahmednagar,26.44,67.03,0.59
13-07-2025,Maharashtra,Akola,26.61,72.03,19.71
13-07-2025,Maharashtra,Amravati,26.32,74.45,14.2
13-07-2025,Maharashtra,Ratnagiri,27.1,79.35,64.07
13-07-2025,Maharashtra,Sindhudurg,27.08,82.08,94.51
13-07-2025,Maharashtra,Thane,27.73,78.15,25.9
13-07-2025,Orissa,Koraput,25.34,74.58,27.18
13-07-2025,Madhya Pradesh,Bhopal,25.84,80.72,30.13
13-07-2025,Madhya Pradesh,Burhanpur,27.97,69.35,16.54
13-07-2025,Madhya Pradesh,Chhatarpur,29.6,70.8,57.6
13-07-2025,Maharashtra,Bhandara,27.15,80.58,41.95
13-07-2025,Maharashtra,Bid,28.61,57.8,0.49
13-07-2025,Maharashtra,Buldana,26.88,69,9.83
13-07-2025,Maharashtra,Chandrapur,28.21,75.45,27.34
13-07-2025,Maharashtra,Dhule,26.61,70.08,5.09
13-07-2025,Maharashtra,Garhchiroli,27.18,74.1,18.15
13-07-2025,Maharashtra,Gondiya,27.45,79.1,47.91
13-07-2025,Maharashtra,Greater Bombay,27.74,79.58,40.12
